coiid,ecoclassidPES,mukey
629094,R018XY999CA,460694
634964,R018XI999CA,462206
634969,R018XI999CA,462207
627172,R018XA999CA,459943
637205,R018XY999CA,462974
627177,R018XA999CA,459944
627181,R018XA999CA,459945
634973,R018XI999CA,462208
634979,R018XI999CA,462209
2450699,R018XA999CA,459946
637608,F018XI201CA,463252
634983,R018XI999CA,462210
640770,R018XC105CA,464216
640776,R018XC105CA,464218
640778,R018XC105CA,464219
640780,R018XC105CA,464220
640782,R018XC105CA,464221
640784,R018XC105CA,464222
635811,R018XY999CA,462540
637206,R018XY999CA,462975
640786,R018XC105CA,464223
637621,R018XI106CA,463255
640788,R018XC999CA,464224
627800,R018XI999CA,460189
627801,R018XI999CA,460190
637628,R018XI999CA,463256
634987,R018XI999CA,462211
634992,R018XI999CA,462212
627802,R018XI999CA,460191
627804,R018XI999CA,460192
634996,R018XI999CA,462213
637633,R018XI999CA,463258
637639,R018XI999CA,463259
637633,R018XI999CA,1670186
637644,R018XI999CA,463260
637873,R018XC999CA,463332
637874,R018XY999CA,463333
